27,y
20,y
28,y
16,y
25,y
30,y
24,y
28,y
24,y
20,y
27,n
28,y
30,y
28,y
20,y
25,y
20,y
24,y
24,y
24,y
24,y
27,y
28,y
24,y
20,y
20,y
16,y
25,y
28,y
20,y
35,n
24,y
30,y
32,n
35,y
27,y
36,y
27,y
33,n
30,y
28,y
35,n
40,y
39,n
42,n
30,y
27,y
30,y
35,y
25,y
36,n
28,y
32,y
28,y
30,y
48,n
42,n
48,n
20,y
42,n
54,n
48,n
20,y
60,n
35,y
39,n
33,n
24,y
30,y
45,n
60,n
48,n
48,n
32,y
44,n
42,n
48,n
44,n
39,n
60,n
48,n
32,n
42,n
54,n
39,n
30,y
48,n
35,n
49,n
44,n
42,n
20,y
36,y
36,y
35,n
60,n
54,n
54,n
56,n
54,n
