20,y
27,y
16,y
25,y
25,y
28,y
24,y
20,y
28,y
20,y
30,y
28,y
24,y
20,y
20,y
24,y
24,y
25,y
28,y
24,y
25,y
24,y
30,n
27,y
20,y
16,y
24,y
24,y
20,y
28,y
39,n
27,y
20,y
16,y
30,y
32,y
24,y
30,y
30,y
32,y
35,y
35,n
32,n
24,y
20,y
20,y
27,y
27,y
36,y
30,y
35,n
40,n
30,y
32,y
30,y
44,n
40,n
33,y
27,y
35,n
35,n
36,n
42,n
24,y
36,y
40,n
32,n
36,n
36,n
35,y
30,y
30,y
35,y
28,y
42,n
33,n
32,n
24,y
36,n
30,y
40,n
35,n
40,n
30,y
35,n
39,n
40,n
35,n
28,y
36,y
27,y
40,y
27,y
30,n
30,y
32,y
32,n
35,n
35,y
28,y
